playerSum,dealerUpcard,usableAce,action,qValue,visitCount
5,2,0,1,-0.257461,16
12,4,0,0,-0.217640,710
12,4,0,1,-0.432024,135
18,7,1,0,0.062537,16
18,7,1,1,0.376892,105
5,9,0,0,-0.249408,71
5,9,0,1,-0.761508,11
9,9,0,0,-0.069663,299
9,9,0,1,-0.217241,37
5,6,0,0,0.029728,82
5,6,0,1,-0.396246,17
18,4,1,0,0.165119,90
18,4,1,1,0.030603,68
18,3,0,0,-0.508243,101
18,3,0,1,0.082992,581
15,4,0,0,-0.498438,111
15,4,0,1,-0.071549,727
21,7,1,0,0.000000,0
21,7,1,1,1.416326,455
8,9,0,0,-0.250545,234
8,9,0,1,-0.544747,27
17,4,0,0,-0.496273,79
17,4,0,1,-0.092065,668
13,10,0,0,-0.466760,3245
13,10,0,1,-0.594805,538
19,9,0,0,-0.725662,63
19,9,0,1,0.182344,603
15,5,0,0,-0.532337,79
15,5,0,1,-0.139063,680
13,9,1,0,0.098951,83
13,9,1,1,-0.684630,12
20,3,0,0,-0.805494,130
20,3,0,1,0.671832,815
15,9,0,0,-0.659728,181
15,9,0,1,-0.668295,804
16,11,0,0,-0.643609,811
16,11,0,1,-0.704890,119
7,3,0,0,-0.136931,150
7,3,0,1,-0.134034,23
19,11,1,0,-0.319619,123
19,11,1,1,-0.425924,11
19,10,0,0,-0.669045,315
19,10,0,1,0.226236,3052
18,2,0,0,-0.664650,66
18,2,0,1,0.071527,692
5,5,0,0,-0.048517,85
5,5,0,1,-0.202412,13
18,3,1,0,0.277691,142
18,3,1,1,0.085776,18
6,10,0,0,-0.388410,481
6,10,0,1,-0.755445,56
19,8,1,0,0.048226,16
19,8,1,1,0.777803,122
19,7,0,0,-0.520204,68
19,7,0,1,0.623818,741
20,2,1,0,0.257008,13
20,2,1,1,0.690362,165
7,4,0,0,0.006050,157
7,4,0,1,-0.158813,16
13,9,0,0,-0.435632,772
13,9,0,1,-0.464368,121
14,10,0,0,-0.482945,3239
14,10,0,1,-0.645548,470
17,9,0,0,-0.737949,136
17,9,0,1,-0.474540,825
8,6,0,0,0.141253,191
8,6,0,1,0.080489,22
21,4,1,0,0.000000,0
21,4,1,1,1.411348,418
14,9,1,0,-0.173111,90
14,9,1,1,-0.611394,11
11,10,0,0,0.150921,1678
11,10,0,1,-0.444410,186
15,3,0,0,-0.515599,107
15,3,0,1,-0.270582,751
15,7,0,0,-0.404843,842
15,7,0,1,-0.669558,73
21,10,1,0,0.000000,0
21,10,1,1,1.302104,1811
9,2,0,0,0.081453,239
9,2,0,1,-0.574265,36
13,10,1,0,-0.132387,350
13,10,1,1,-0.713665,46
20,4,0,0,-0.838341,116
20,4,0,1,0.647446,878
7,7,0,0,-0.079714,161
7,7,0,1,-0.506258,28
20,5,1,0,0.409729,23
20,5,1,1,0.787271,138
19,5,0,0,-0.599658,66
19,5,0,1,0.527014,563
12,11,0,0,-0.492385,774
12,11,0,1,-0.757519,92
16,10,0,0,-0.556848,2841
16,10,0,1,-0.658504,875
16,7,0,0,-0.416493,369
16,7,0,1,-0.572556,520
8,4,0,0,0.080661,179
8,4,0,1,-0.219219,28
21,2,1,0,0.000000,0
21,2,1,1,1.368778,465
14,7,1,0,0.150878,80
14,7,1,1,-0.269222,8
14,7,0,0,-0.344163,686
14,7,0,1,-0.486433,186
20,7,1,0,0.466451,16
20,7,1,1,0.736518,144
7,9,0,0,-0.350092,178
7,9,0,1,-0.693237,32
18,7,0,0,-0.563105,86
18,7,0,1,0.431170,731
5,10,0,0,-0.367938,360
5,10,0,1,-0.904756,33
18,8,1,0,-0.105320,17
18,8,1,1,0.149096,141
7,10,0,0,-0.355889,717
7,10,0,1,-0.487295,77
20,8,1,0,0.611321,11
20,8,1,1,0.783158,165
20,7,0,0,-0.698475,91
20,7,0,1,0.803910,1047
16,10,1,0,-0.223740,448
16,10,1,1,-0.598885,58
4,2,0,0,-0.031714,16
4,2,0,1,-0.549564,5
10,7,0,0,0.274623,320
10,7,0,1,-0.237929,31
19,2,0,0,-0.727793,84
19,2,0,1,0.312128,691
13,3,0,0,-0.399668,81
13,3,0,1,-0.214946,698
8,10,0,0,-0.284475,863
8,10,0,1,-0.789632,107
21,8,1,0,0.000000,0
21,8,1,1,1.413083,463
14,9,0,0,-0.401407,812
14,9,0,1,-0.520081,100
15,2,0,0,-0.569497,125
15,2,0,1,-0.262293,745
13,7,1,0,0.082560,83
13,7,1,1,-0.655345,7
19,11,0,0,-0.880561,85
19,11,0,1,-0.005890,845
15,10,0,0,-0.540023,2059
15,10,0,1,-0.614939,1795
12,6,0,0,-0.129898,524
12,6,0,1,-0.273132,312
18,9,1,0,-0.150714,131
18,9,1,1,-0.209410,16
12,2,0,0,-0.324591,694
12,2,0,1,-0.421341,114
17,3,1,0,0.090538,98
17,3,1,1,-0.176132,29
4,5,0,0,-0.003309,38
4,5,0,1,-0.610911,5
10,10,0,0,0.040770,1293
10,10,0,1,-0.447378,142
19,3,1,0,0.210912,15
19,3,1,1,0.486584,121
6,5,0,0,-0.053391,95
6,5,0,1,-0.160538,18
12,10,0,0,-0.430829,3186
12,10,0,1,-0.642420,400
15,11,1,0,-0.410261,80
15,11,1,1,-0.420453,8
9,8,0,0,0.056595,279
9,8,0,1,-0.313647,39
21,10,0,0,0.000000,0
21,10,0,1,0.921954,1703
13,4,0,0,-0.520788,117
13,4,0,1,-0.158121,787
14,4,0,0,-0.188598,164
14,4,0,1,-0.222267,628
20,6,0,0,-0.916270,106
20,6,0,1,0.668086,821
11,2,0,0,0.267422,364
11,2,0,1,-0.183192,40
18,10,1,0,-0.194596,519
18,10,1,1,-0.276852,109
6,2,0,0,-0.122805,79
6,2,0,1,-0.296548,17
11,8,0,0,0.195857,360
11,8,0,1,-0.521024,49
11,4,0,0,0.397156,346
11,4,0,1,-0.081271,61
18,6,1,0,0.191163,145
18,6,1,1,-0.016607,23
5,8,0,0,-0.165037,79
5,8,0,1,-0.690796,11
21,9,0,0,0.000000,0
21,9,0,1,0.923858,433
17,7,0,0,-0.560391,88
17,7,0,1,-0.100714,745
7,11,0,0,-0.529694,178
7,11,0,1,-0.778231,25
20,9,1,0,0.031966,18
20,9,1,1,0.736516,132
15,8,1,0,-0.006257,113
15,8,1,1,-1.000000,11
11,3,0,0,0.278453,403
11,3,0,1,-0.336177,36
17,4,1,0,0.141355,136
17,4,1,1,-0.254889,12
4,6,0,0,0.008037,16
4,6,0,1,-0.194111,8
21,11,0,0,0.000000,0
21,11,0,1,0.609826,494
21,7,0,0,0.000000,0
21,7,0,1,0.916693,402
10,11,0,0,-0.241403,357
10,11,0,1,-0.968952,31
15,11,0,0,-0.657990,800
15,11,0,1,-0.809507,131
18,11,0,0,-0.633005,101
18,11,0,1,-0.347399,869
15,2,1,0,0.237134,89
15,2,1,1,-0.198182,9
16,2,0,0,-0.461572,108
16,2,0,1,-0.240529,721
17,11,0,0,-0.751842,92
17,11,0,1,-0.694484,904
21,3,1,0,0.000000,0
21,3,1,1,1.368136,440
19,9,1,0,-0.130820,21
19,9,1,1,0.485472,148
6,11,0,0,-0.506750,102
6,11,0,1,-0.929899,17
9,11,0,0,-0.367368,315
9,11,0,1,-0.678261,32
18,8,0,0,-0.518320,68
18,8,0,1,0.060065,684
12,10,1,0,-0.068195,136
12,10,1,1,-0.966334,18
19,8,0,0,-0.807261,89
19,8,0,1,0.501586,767
6,9,0,0,-0.285930,153
6,9,0,1,-0.580721,15
19,7,1,0,0.335915,30
19,7,1,1,0.604220,125
10,9,0,0,0.096238,313
10,9,0,1,-0.312826,42
20,11,0,0,-0.980130,107
