playerSum,dealerUpcard,usableAce,action,qValue,visitCount
14,6,0,0,-0.451613,93
14,6,0,1,-0.157650,15065
5,9,0,0,-0.507463,67
5,9,0,1,-0.492853,1889
18,7,1,0,0.189059,2486
18,7,1,1,-0.100000,10
18,6,0,0,-0.644068,59
18,6,0,1,0.282058,11214
16,10,1,0,-0.258051,9781
16,10,1,1,-0.557719,719
4,2,0,0,-0.714286,7
4,2,0,1,-0.268571,350
10,7,0,0,0.273412,7037
10,7,0,1,-0.500000,48
20,11,1,0,-0.500000,14
20,11,1,1,0.107558,2064
8,3,0,0,0.026667,4200
8,3,0,1,-0.272727,22
14,8,0,0,-0.364714,16953
14,8,0,1,-0.572451,1118
5,6,0,0,0.020369,1031
5,6,0,1,-0.177052,1011
18,4,1,0,0.125557,1346
18,4,1,1,0.197085,1715
18,3,0,0,-0.614035,57
18,3,0,1,0.145274,12060
19,2,0,0,-0.721311,61
19,2,0,1,0.383253,12814
6,5,0,0,-0.010817,2681
6,5,0,1,-0.266667,30
19,3,1,0,0.153846,13
19,3,1,1,0.409230,2947
17,10,0,0,-0.608567,1354
17,10,0,1,-0.458660,80371
20,9,0,0,-0.880952,84
20,9,0,1,0.742889,21446
14,10,0,0,-0.497492,73762
14,10,0,1,-0.597122,417
19,7,0,0,-0.683544,79
19,7,0,1,0.621151,16661
13,8,0,0,-0.352990,16992
13,8,0,1,-0.530466,1116
14,5,0,0,-0.415584,77
14,5,0,1,-0.132472,14856
20,7,0,0,-0.901961,102
20,7,0,1,0.772727,23430
7,10,0,0,-0.384356,15124
7,10,0,1,-0.568445,862
20,8,1,0,0.466667,15
20,8,1,1,0.796157,3331
16,7,0,0,-0.404470,18256
16,7,0,1,-0.501401,357
17,5,0,0,-0.388060,67
17,5,0,1,-0.031006,12191
13,5,0,0,-0.203947,152
13,5,0,1,-0.133362,16189
14,3,0,0,-0.368525,1525
14,3,0,1,-0.235991,13937
15,9,0,0,-0.489235,15559
15,9,0,1,-0.551072,793
9,10,0,0,-0.212752,24874
9,10,0,1,-0.614545,550
12,10,0,0,-0.415136,69594
12,10,0,1,-0.586558,982
16,9,0,0,-0.485313,16307
16,9,0,1,-0.494505,91
10,10,0,0,-0.038840,29300
10,10,0,1,-0.615894,151
19,3,0,0,-0.750000,60
19,3,0,1,0.395564,10911
14,6,1,0,0.126209,1965
14,6,1,1,-0.454545,11
20,10,0,0,-0.839827,462
20,10,0,1,0.447860,90928
20,6,0,0,-0.744681,94
20,6,0,1,0.700734,17172
14,7,0,0,-0.362789,17699
14,7,0,1,-0.505618,89
15,10,0,0,-0.537936,77262
15,10,0,1,-0.549164,1495
19,4,0,0,-0.709091,55
19,4,0,1,0.409323,10383
12,10,1,0,-0.060859,2399
12,10,1,1,-0.549425,435
16,5,0,0,-0.459544,964
16,5,0,1,-0.123566,12204
19,5,0,0,-0.763636,55
19,5,0,1,0.447376,10651
17,8,0,0,-0.512821,78
17,8,0,1,-0.393672,18490
18,11,1,0,-0.373570,1748
18,11,1,1,-0.750000,16
6,3,0,0,-0.116680,1277
6,3,0,1,-0.261745,1043
12,8,0,0,-0.293833,17156
12,8,0,1,-0.483146,89
20,7,1,0,-0.047619,21
20,7,1,1,0.778349,3307
7,9,0,0,-0.316587,3961
7,9,0,1,-0.545455,22
14,4,0,0,-0.323741,139
14,4,0,1,-0.194284,13506
18,10,0,0,-0.671835,387
18,10,0,1,-0.239479,76203
16,4,0,0,-0.424658,73
16,4,0,1,-0.199220,13849
15,11,0,0,-0.635691,11353
15,11,0,1,-0.771049,7067
17,2,0,0,-0.636364,66
17,2,0,1,-0.155590,14686
12,2,0,0,-0.262315,14860
12,2,0,1,-0.394737,76
17,8,1,0,-0.075082,2757
17,8,1,1,-0.480000,25
4,10,0,0,-0.640000,25
4,10,0,1,-0.591226,2872
14,9,0,0,-0.569892,93
14,9,0,1,-0.546162,17222
17,4,0,0,-0.388889,72
17,4,0,1,-0.059610,13169
12,3,0,0,-0.302326,86
12,3,0,1,-0.245830,16845
9,7,0,0,0.190519,5569
9,7,0,1,-0.541899,179
15,5,0,0,-0.415730,89
15,5,0,1,-0.135999,12331
12,7,0,0,-0.232074,17042
12,7,0,1,-0.375000,160
19,8,1,0,0.533333,15
19,8,1,1,0.607599,2816
6,10,0,0,-0.408041,9004
6,10,0,1,-0.587389,1459
15,8,1,0,-0.033818,2336
15,8,1,1,-0.411765,17
10,6,0,0,0.317922,6835
10,6,0,1,-0.333333,33
19,11,0,0,-0.845361,97
19,11,0,1,-0.123966,17658
9,11,0,0,-0.370913,4435
9,11,0,1,-0.764371,1757
10,5,0,0,0.325208,4800
10,5,0,1,-0.079863,2041
17,6,1,0,0.137795,2032
17,6,1,1,-0.111111,27
4,8,0,0,-0.172996,711
4,8,0,1,-0.600000,5
14,11,0,0,-0.604415,16262
14,11,0,1,-0.737393,1051
5,11,0,0,-0.537915,1688
5,11,0,1,-0.743396,265
18,9,1,0,-0.062500,16
18,9,1,1,-0.156496,3048
13,7,0,0,-0.283640,9572
13,7,0,1,-0.486144,8769
10,8,0,0,0.196562,6690
10,8,0,1,-0.333333,24
17,9,1,0,-0.180966,2028
17,9,1,1,-0.415730,623
4,11,0,0,-0.483766,308
4,11,0,1,-0.730120,415
16,6,1,0,0.139979,1936
16,6,1,1,-0.114638,567
11,8,0,0,0.243769,8385
11,8,0,1,-0.681818,44
8,10,0,0,-0.324198,17477
8,10,0,1,-0.603622,1988
7,8,0,0,-0.244576,2535
7,8,0,1,-0.477654,1432
20,6,1,0,0.105263,19
20,6,1,1,0.709890,3185
17,2,1,0,-0.200000,10
17,2,1,1,-0.160626,2428
4,4,0,0,-0.121163,619
4,4,0,1,-0.333333,15
18,7,0,0,-0.559140,93
18,7,0,1,0.400098,18388
8,2,0,0,-0.048127,4031
8,2,0,1,-0.259259,27
20,10,1,0,-0.040000,75
20,10,1,1,0.461707,14141
13,9,1,0,-0.040148,1893
